timestamp,Open,High,Low,Close,Volume
2022-01-02,527.5,533.5,518.0,530.65,13008.62
2022-01-03,530.65,532.3,511.0,512.1,20467.8
2022-01-04,512.1,519.95,503.0,506.75,28444.41
2022-01-05,506.75,515.75,456.0,473.35,36407.24
2022-01-06,473.35,480.85,458.9,472.5,22930.83
2022-01-07,472.5,473.4,436.95,447.6,43159.23
2022-01-08,447.6,459.6,415.0,429.3,37414.78
2022-01-09,429.3,444.2,426.7,438.25,22538.85
2022-01-10,438.25,445.05,406.1,424.75,38248.93
2022-01-11,424.75,467.55,421.4,462.75,42537.3
2022-01-12,462.75,489.0,455.5,487.5,33546.51
2022-01-13,487.5,488.45,466.4,474.2,31656.3
2022-01-14,474.2,492.15,466.75,489.7,28580.22
2022-01-15,489.7,500.0,484.55,493.8,21629.94
2022-01-16,493.8,505.55,488.2,497.85,25047.5
2022-01-17,497.85,498.05,467.0,475.15,34895.65
2022-01-18,475.15,479.2,457.2,470.5,26363.01
2022-01-19,470.5,472.5,453.65,461.8,25668.71
2022-01-20,461.8,478.0,438.6,440.7,49616.82
2022-01-21,440.7,444.7,373.15,383.7,73170.7
2022-01-22,383.7,389.1,336.1,358.55,105481.96
2022-01-23,358.55,388.9,356.25,383.9,54641.24
2022-01-24,383.9,384.05,336.1,371.0,72106.01
2022-01-25,371.0,387.6,357.4,384.4,36126.08
2022-01-26,384.4,402.4,366.0,374.6,52213.02
2022-01-27,374.6,393.5,359.45,389.75,59002.97
2022-01-28,389.75,397.0,375.3,386.0,47294.76
2022-01-29,386.0,397.35,378.8,388.7,34740.41
2022-01-30,388.7,389.1,372.45,377.35,23717.3
2022-01-31,377.35,384.85,364.65,374.3,29580.92
2022-02-01,374.3,388.4,373.65,383.65,29018.81
2022-02-02,383.65,385.8,366.1,367.05,23066.47
2022-02-03,367.05,372.05,359.5,372.0,26363.97
2022-02-04,372.0,399.5,369.3,399.35,49257.67
2022-02-05,399.35,430.35,396.15,413.75,42699.82
2022-02-06,413.75,421.35,406.75,419.55,27590.47
2022-02-07,419.55,438.6,412.95,433.1,31674.7
2022-02-08,433.1,445.1,406.5,407.95,39624.34
2022-02-09,407.95,427.25,407.5,422.3,24625.11
2022-02-10,422.3,435.45,409.65,414.5,44076.38
2022-02-11,414.5,418.6,392.5,399.85,34791.82
2022-02-12,399.85,407.0,393.3,403.6,31662.23
2022-02-13,403.6,407.2,394.7,397.95,15581.81
2022-02-14,397.95,404.35,390.75,403.5,30205.36
2022-02-15,403.5,442.4,402.9,432.15,60424.09
2022-02-16,432.15,433.3,421.75,426.75,32172.75
2022-02-17,426.75,430.8,398.65,401.85,30014.02
2022-02-18,401.85,410.6,391.95,398.9,38707.39
2022-02-19,398.9,406.35,393.0,399.3,15968.09
2022-02-20,399.3,399.5,374.6,380.15,27086.37
2022-02-21,380.15,393.0,354.7,356.25,49458.17
2022-02-22,356.25,375.0,348.25,373.7,32330.02
2022-02-23,373.7,384.2,365.2,365.25,27061.07
2022-02-24,365.25,370.55,323.1,360.85,75530.47
2022-02-25,360.85,376.9,356.65,374.55,29847.28
2022-02-26,374.55,391.0,370.4,373.1,19412.44
2022-02-27,373.1,380.85,357.95,359.85,22493.31
2022-02-28,359.85,397.4,355.45,395.75,24092.52
2022-03-01,395.75,426.35,391.0,408.5,56533.41
2022-03-02,408.5,415.5,403.45,408.9,20621.44
2022-03-03,408.9,412.75,397.25,402.25,16212.61
2022-03-04,402.25,403.15,371.45,374.15,26421.1
2022-03-05,374.15,386.75,366.8,384.2,13841.48
2022-03-06,384.2,386.7,372.4,374.45,20713.51
2022-03-07,374.45,385.5,362.55,380.4,44830.91
2022-03-08,380.4,390.0,376.7,381.3,32451.28
2022-03-09,381.3,402.5,380.85,393.1,37194.94
2022-03-10,393.1,394.35,362.1,371.65,28216.61
2022-03-11,371.65,379.95,364.5,372.05,24092.27
2022-03-12,372.05,378.95,371.05,372.3,14836.01
2022-03-13,372.3,376.85,359.75,360.95,16979.76
2022-03-14,360.95,374.0,359.0,373.7,12586.61
2022-03-15,373.7,374.75,361.65,371.45,14902.59
2022-03-16,371.45,386.7,368.05,385.25,26058.85
2022-03-17,385.25,393.4,381.9,391.7,21393.62
2022-03-18,391.7,400.25,383.75,397.05,24832.33
2022-03-19,397.05,406.0,394.65,399.55,28982.17
2022-03-20,399.55,400.45,386.1,390.5,22480.59
2022-03-21,390.5,399.0,384.8,395.7,31355.04
2022-03-22,395.7,409.9,394.55,403.65,41823.55
2022-03-23,403.65,411.8,397.75,408.2,23498.39
